clean_text,reminder system,reward programme,misselling,customer service,product pricing,output,Category
sms reminders creditcardco vague cryptic supposed remember due date without clear information confusingmessages,0.970593154,0.002747671,0.007948467,0.017456295,0.001254468,reminder system,Reminder System
credit card rewards program creditcardco convoluted even figure redeem points rewardfrustration,0.00135102,0.993426859,0.003319265,0.001191469,0.000711394,reward programme,Reward Programme
text message creditcardco notifying fraudulent transaction woke middle night respect customers sleep schedule intrusiveale,0.236175105,0.052970447,0.050158456,0.620231152,0.040464807,customer service,Miscellaneous
hey creditcardco integrating payment reminder ales viual assistant platforms like siri google assistant would make convenient customers stay informed paymentreminders,0.935942948,0.002580238,0.001223308,0.058796939,0.0014566,reminder system,Reminder System
discovered creditcardco called exclusive offer retired pensioners nothing trap hidden fees high costs pushing financial hardship deceptivesales misselling,0.001969552,0.003972006,0.990772963,0.001553663,0.001731801,misselling,MisSelling
credit card fees balance transfer fees cash advance fees considered utilizing services impoant assess cost benefit feeconsideration,0.155840144,0.239973411,0.192759722,0.189384222,0.222042501,reward programme,Miscellaneous
notification creditcardco changes credit limit arrived already made large purchase poor timing lack consideration untimelycommunication,0.404777884,0.034221698,0.040685572,0.489413559,0.030901279,customer service,Reminder System
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,0.001121168,0.001292246,0.956478834,0.001133971,0.039973799,misselling,MisSelling
hey creditcardco relying solely snail mail sending due date reminders outdated ineffective embrace digital communication options snailmailissues,0.970700741,0.002402164,0.001457579,0.023897024,0.001542435,reminder system,Channel of Communication
trusted creditcardco products suitable retired pensioners took advantage vulnerability high cost product sold causing immense financial stress predatorypractices misselling,0.001264414,0.001403631,0.509129226,0.001178689,0.487024009,misselling,MisSelling
loyal customer creditcardco reward program feels like one sided deal annual fee keeps increasing rewards keep shrinking unbalanced,0.00107703,0.948729694,0.046045084,0.002531383,0.001616889,reward programme,Reward Programme
creditcardco reward program needs major overhaul accumulated many points redemption options lackluster uninspiring rewardprogramfail,0.00120464,0.995356798,0.001622092,0.000955992,0.000860423,reward programme,Reward Programme
dear creditcardco automated payment reminder calls frequent disruptive would helpful could customize frequency switch less intrusive mode communication automatedcalls communicationpreference,0.990278363,0.002344971,0.001663633,0.003568972,0.002144091,reminder system,Channel of Communication
feeling betrayed creditcardco marketed product specifically retired pensioners promising financial security burdened unmanageable debt targetedexploitation misselling,0.001121168,0.001292246,0.956478834,0.001133971,0.039973799,misselling,MisSelling
feeling frustrated creditcardco reward program points expire quickly making impossible save meaningful redemption shoexpiration,0.00199669,0.992959201,0.002475491,0.001464147,0.001104429,reward programme,Reward Programme
due date reminders creditcardco easily overlooked cluttered inbox need attention grabbing format subject line getnoticed,0.975550294,0.004705934,0.00306648,0.013769123,0.00290828,reminder system,Reminder System
choosing right credit card requires careful consideration interest rates fees rewards programs impoant compare options making decision creditcardselection,0.01346884,0.928629577,0.020688718,0.0138644,0.023348525,reward programme,Reward Programme
creditcardco always send impoant updates weekends holidays customer service unavailable inconvenient frustrating pooiming,0.045292757,0.004117155,0.001527854,0.946782112,0.0022801,customer service,Reminder System
feeling scammed creditcardco convinced purchase high cost product promising incredible benefits turned total rip fraudulentsales misselling,0.000993575,0.00163446,0.958391428,0.002361723,0.036618799,misselling,MisSelling
creditcardco email payment reminders often end spam folder causing miss impoant due dates please improve delivery consider alternative modes communication paymentreminders communicationissue,0.985866487,0.001970601,0.001724754,0.008936193,0.001501902,reminder system,Channel of Communication
apologize inconvenience caused pricing structure rest assured committed providing competitive transparent pricing benefits customers thank feedback transparentpolicies,0.080831125,0.076002494,0.065148689,0.347575754,0.430441946,product pricing,Inappropriate pricing
creditcardco high default interest rates like want profit people financial struggles exploitativepricing,0.033637203,0.039923042,0.852639616,0.022467844,0.051332247,misselling,Inappropriate pricing
thank bringing issue altered product pricing attention value feedback committed considering impact customers making changes customerfirst,0.000376458,0.000420235,0.000549265,0.00426786,0.994386256,product pricing,Inappropriate pricing
apologize inconvenience caused pricing structure feedback impoant committed evaluating adjusting fees better align customer needs thank input customercentricapproach,0.027560133,0.03621297,0.030081281,0.475934625,0.430211037,customer service,Inappropriate pricing
thank bringing issue product pricing attention value feedback dedicated ensuring pricing changes communicated effectively customer impact mind customerfeedbackmatters,0.000583354,0.00051278,0.0007404,0.001933847,0.996229649,product pricing,Inappropriate pricing
thank bringing issue product pricing attention value feedback dedicated ensuring pricing changes communicated effectively customer impact mind customerfeedbackmatters,0.000583354,0.00051278,0.0007404,0.001933847,0.996229649,product pricing,Inappropriate pricing
thank sharing concerns altered product pricing genuinely appreciate feedback committed considering impact customers making pricing decisions customerimpactconsidered,0.000487274,0.000610299,0.000710414,0.001064503,0.997127593,product pricing,Inappropriate pricing
thank bringing issue product pricing attention value feedback dedicated ensuring pricing changes communicated effectively customer impact mind customerfeedbackmatters,0.000583354,0.00051278,0.0007404,0.001933847,0.996229649,product pricing,Inappropriate pricing
dear creditcardco offering two day grace period payment due date could helpful customers occasionally miss deadline paymentreminders,0.758921802,0.005782026,0.007049791,0.225372881,0.002873565,reminder system,Reminder System
dear creditcardco providing summary changes terms conditions plain language would ensure customers well informed transparentcommunication,0.087150522,0.051736135,0.03809835,0.779565036,0.043450005,customer service,Channel of Communication
apologize inconvenience caused timing communication feedback impoant working enhancing communication strategies ensure timely effective delivery thank patience improvedtimeliness,0.083303578,0.081608012,0.057141889,0.728767872,0.049178712,customer service,Reminder System
hey creditcardco sending payment reminders day due date counterproductive give customers enough time respond lastminutereminder,0.947099864,0.001635986,0.031314146,0.018830838,0.001119169,reminder system,Reminder System
creditcardco always send impoant updates peak business hours difficult reach customer service consider availability inconvenienttiming,0.049332812,0.004874278,0.001435693,0.94276756,0.001589625,customer service,Reminder System
apologize inconvenience caused timing communication feedback impoant working enhancing communication strategies ensure timely effective delivery thank patience improvedtimeliness,0.083303578,0.081608012,0.057141889,0.728767872,0.049178712,customer service,Reminder System
hey creditcardco sending payment due reminders due date passed counterproductive improve timing latereminder,0.875148177,0.001210439,0.076981112,0.045692213,0.00096806,reminder system,Reminder System
credit card rewards programs offer value essential assess spending habits choose program aligns personal preferences rewardsevaluation,0.003243825,0.988765299,0.002755971,0.002577788,0.002657222,reward programme,Reward Programme
suggestion creditcardco implement mobile app feature sends push notifications payment reminders ensuring timely payments paymentreminders,0.98760581,0.002266478,0.001730238,0.006800388,0.001597122,reminder system,Reminder System
hey creditcardco integrating payment reminder ales viual assistant platforms like siri google assistant would make convenient customers stay informed paymentreminders,0.935942948,0.002580238,0.001223308,0.058796939,0.0014566,reminder system,Reminder System
suggestion creditcardco explore option sending payment reminders social media platforms like twitter facebook quick easy access paymentreminders,0.986851692,0.002408599,0.000845078,0.008349675,0.001544879,reminder system,Reminder System
dear creditcardco providing option customers schedule payment reminder calls texts specific times suit preferences would helpful paymentreminders,0.843018115,0.003006106,0.001296717,0.151194274,0.001484787,reminder system,Reminder System
suggestion creditcardco offering dedicated mobile app widget displays upcoming payment due dates home screen would serve constant reminder paymentreminders,0.986892402,0.002515887,0.000970282,0.008091956,0.001529472,reminder system,Reminder System
transparency matters creditcardco consider providing breakdown fees charges monthly statements help customers better understand expenses transparentcommunication,0.131822586,0.15968506,0.116924472,0.448510528,0.143057331,customer service,Transparency of communication
understand impoance timely communication feedback valuable actively working enhance timing messages better serve thank patience improvedtiming,0.191070437,0.179758042,0.131678551,0.422441095,0.075051859,customer service,Reminder System
kudos creditcardco interactive chatbot service payment reminders user friendly accessible way receive notifications paymentreminders,0.936161041,0.003349073,0.001242638,0.058008485,0.001238789,reminder system,Reminder System
apologize inconvenience caused timing communication feedback impoant working enhancing communication strategies ensure timely effective delivery thank patience improvedtimeliness,0.083303578,0.081608012,0.057141889,0.728767872,0.049178712,customer service,Reminder System
credit card received creditcardco match features rewards adveised letdown mismatchedoffer,0.002670837,0.76749289,0.219188288,0.008304924,0.002343014,reward programme,Reward Programme
curious learn new credit card schemes creditcardco offer better rewards perks compared existing ones competition,0.003700295,0.986907899,0.00338209,0.002893492,0.003116279,reward programme,Reward Programme
apologize inconvenience caused pricing structure committed ensuring fairness transparency fee policies feedback impoant fairpricing,0.151906371,0.142495885,0.137254357,0.144738689,0.423604667,product pricing,Transparency of communication
suggestion creditcardco clearly state consequences missed payments late fees interest charges help customers make informed decisions transparentcommunication,0.1154465,0.042797823,0.049007826,0.748633146,0.044114668,customer service,Channel of Communication
creditcardco notifications mobile app payment reminders glitchy always show makes difficult stay top payments please fix issue soon possible appproblems paymentreminders,0.971138835,0.00181604,0.000847244,0.025566783,0.00063105,reminder system,Channel of Communication
received promotional email creditcardco limited time offer expired even read improve timing please missedoppounity,0.088474594,0.706593931,0.104405686,0.071108408,0.029417278,reward programme,Reminder System
impressed generous rewards program offered creditcardco able earn valuable points redeem amazing perks rewardingexperience,0.001175971,0.99626106,0.000731095,0.000951689,0.000880104,reward programme,Reward Programme
understand impoance timely communication feedback valuable actively working enhance timing messages better serve thank patience improvedtiming,0.191070437,0.179758042,0.131678551,0.422441095,0.075051859,customer service,Reminder System
announcement creditcardco schemes generating buzz reserve opinion information eligibility criteria rewards structure informeddecisions,0.003076693,0.989416361,0.0028792,0.00258229,0.002045382,reward programme,Reward Programme
beware creditcardco tactics pushed high cost product suit needs shameful sales practices deceptivesales misselling,0.002544197,0.002273608,0.836281478,0.001508178,0.157392487,misselling,MisSelling
discovered creditcardco called exclusive offer retired pensioners nothing trap hidden fees high costs pushing financial hardship deceptivesales misselling,0.001969552,0.003972006,0.990772963,0.001553663,0.001731801,misselling,MisSelling
realized high cost product purchased credit card completely misrepresented creditcardco unacceptable missold misselling,0.001030011,0.00195615,0.787696719,0.001111502,0.20820564,misselling,MisSelling
thanks credit card rewards program redeemed points free flight best feeling ever rewardsprogram,0.00134014,0.99499172,0.001042682,0.00161139,0.001014036,reward programme,Reward Programme
appreciate transparency creditcardco clearly communicate fees charges associated credit cards ensuring surprises honestywins,0.065283641,0.120338172,0.077359997,0.61926657,0.117751643,customer service,Transparency of communication
apologize timing communication feedback valuable working improve effectiveness relevance messages thank bringing attention timelycommunication,0.24337329,0.224259377,0.159765571,0.280084759,0.092516966,customer service,Reminder System
hey creditcardco integrating payment reminders popular personal finance apps would convenient users stay top payments paymentreminders,0.984954357,0.004548471,0.001978167,0.00640988,0.00210911,reminder system,Reminder System
big thumbs creditcardco proactive communication regarding recent credit card data breach promptly notified assured customers enhanced security measures well done datasecurity,0.062807858,0.103704333,0.032937977,0.778968155,0.021581694,customer service,Channel of Communication
hey creditcardco consider sending proactive notifications customers adjustments interest rates ensuring transparency avoiding surprises transparentcommunication,0.111797839,0.037496541,0.0499532,0.755952179,0.044800237,customer service,Transparency of communication
dear creditcardco voicemail reminders payments barely audible understand details frustrating ineffective please improve quality switch another mode communication poorvoicemail paymentreminders,0.842847168,0.000917945,0.001119049,0.154488683,0.000627165,reminder system,Channel of Communication
hats creditcardco proactive communication upcoming changes credit card terms conditions provided comprehensive explanation ensuring transparency well done termsandconditions,0.01503946,0.037385006,0.013529224,0.926232576,0.007813732,customer service,Transparency of communication
credit card terms creditcardco keep changing without warning hard trust company value transparency lackofconsistency,0.115029126,0.505285978,0.183412671,0.1143004,0.081971869,reward programme,Transparency of communication
dear creditcardco allowing customers choose preferred mode payment reminder communication email text phone call would cater diverse preferences paymentreminders,0.719543695,0.001867849,0.001069475,0.276635706,0.000883309,reminder system,Channel of Communication
credit card rewards earned regular spending impoant assess whether benefits offset potential interest charges fees rewardsassessment,0.004101275,0.983248353,0.004244669,0.00351984,0.004885954,reward programme,Reward Programme
notification creditcardco changes account arrived weeks changes implemented stay top communication delayedupdates,0.381267995,0.127242446,0.06525176,0.34625569,0.079982087,reminder system,Channel of Communication
grateful creditcardco competitive cashback program rewarding earn money back spending cashbackbonanza,0.001185976,0.995221436,0.000830913,0.001264325,0.001497295,reward programme,Reward Programme
received credit card offer creditcardco rewards program align spending habits research mismatchedoffer,0.001409021,0.833918095,0.162407905,0.001463661,0.000801451,reward programme,Reward Programme
understand impoance timely billing information team addressing delay issue ensure next statement delivered promptly thank patience timelycommunication,0.078665644,0.071777135,0.070533328,0.706581116,0.0724428,customer service,Channel of Communication
hey creditcardco incorporating sms based payment reminders direct link one click payment could simplify process customers paymentreminders,0.895370185,0.002586985,0.001241424,0.09914358,0.001657772,reminder system,Reminder System
refreshing see company take responsibility mis selling credit card kudos bank acknowledging issue working towards fair resolution appreciate commitment customer satisfaction accountability impressed,0.000729959,0.001858605,0.812653601,0.184057385,0.000700473,misselling,MisSelling
mis selling incidents frustrating glad bank listened concerns took corrective measures regained trust addressing situation promptly thank valuing customers trustrestored happycustomer,0.000498598,0.000611762,0.701385319,0.296830863,0.000673502,misselling,MisSelling
hats bank transparency accountability acknowledged mis selling credit cards reached affected customers offered suitable solutions refreshing see integrity transparency impressive,0.001002746,0.001334303,0.983261287,0.013493869,0.000907795,misselling,MisSelling
got caught mis selling incident credit card bank resolution team top rectified issue swiftly leaving positive impression thanks quick response effectiveresolution satisfiedcustomer,0.000484426,0.001682497,0.582869291,0.414486378,0.000477507,misselling,MisSelling
seriously creditcardco justify exorbitant annual fees high interest rates feels like rip unfairpricing,0.03054763,0.06901139,0.446708858,0.032408256,0.421323895,misselling,Inappropriate pricing
creditcardco pricing structure maze navigate hidden fees penalties confusing terms make impossible understand paying transparencyplease,0.065820098,0.11464785,0.60532248,0.070718743,0.143490821,misselling,Inappropriate pricing
got hit unexpected charges creditcardco upfront pricing pricesurprise,0.112739116,0.077777326,0.130832464,0.119084053,0.559567034,product pricing,Inappropriate pricing
loyal customer expect better creditcardco arbitrary pricing changes leaving sour taste mouth customerdissatisfaction,0.057103749,0.144252405,0.368957043,0.259616166,0.170070574,misselling,Inappropriate pricing
dear creditcardco tiered pricing system seems like way squeeze money hardworking individuals pricediscrimination,0.120098419,0.062844425,0.389556378,0.054770131,0.372730672,misselling,Inappropriate pricing
tired creditcardco unpredictable pricing time transparency fair treatment customers pricestability,0.0744128,0.110309817,0.0886911,0.46443516,0.262151182,customer service,Inappropriate pricing
hey creditcardco pricing changes without warning making difficult budget get consistency please budgetingnightmare,0.115146026,0.155368075,0.121628329,0.185267329,0.422590256,product pricing,Inappropriate pricing
creditcardco pricing games driving crazy like never ending roller coaster charges fees pricemadness,0.040666074,0.066718422,0.799924314,0.041369606,0.051321562,misselling,Inappropriate pricing
frustrating creditcardco lures customers low introductory rates skyrocket later deceptive pricing please falsepromises,0.001236323,0.001722587,0.993290603,0.002125766,0.001624742,misselling,Inappropriate pricing
dear creditcardco pricing tactics predatory unfair stop preying people financial vulnerability unethicalpricing,0.06501402,0.104589805,0.626504719,0.065701783,0.138189584,misselling,Inappropriate pricing
hey creditcardco hidden fees fine print masterclass deceptive pricing time clean act pricingtricks,0.016918266,0.02149759,0.912910998,0.00981954,0.038853567,misselling,Inappropriate pricing
creditcardco pricing structure nightmare like want confuse frustrate customers purpose customerexploitation,0.012436999,0.014119559,0.380849242,0.014100166,0.578494012,product pricing,Inappropriate pricing
hey creditcardco pricing touch reality people struggling making worse unjust charges insensitivepricing,0.110929228,0.155426338,0.50967288,0.089191176,0.134780362,misselling,Inappropriate pricing
creditcardco pricing structure designed trap people debt time prioritize financial well profits debttrap,0.011050228,0.012318165,0.818995833,0.007824216,0.149811521,misselling,Inappropriate pricing
dear creditcardco pricing changes like bad soap opera think another twist neverendingfees,0.11659912,0.168633744,0.221514806,0.091554642,0.401697665,product pricing,Inappropriate pricing
creditcardco pricing transparency non existent time come clean stop hiding behind confusing terms conditions hiddencharges,0.01652417,0.036206312,0.86752218,0.021342456,0.058404882,misselling,Inappropriate pricing
creditcardco pricing structure maze escape time simplify provide clarity customers pricingconfusion,0.118159711,0.300756931,0.117456295,0.111503653,0.352123439,product pricing,Inappropriate pricing
another month another surprise fee creditcardco like making charges see much get away feefrustration,0.100135706,0.066028662,0.625579357,0.145262718,0.062993556,misselling,Inappropriate pricing
thank bringing issue altered product pricing attention take customer impact seriously carefully consider aspects making changes future customercentricapproach,0.000353823,0.000403922,0.000457226,0.000874654,0.99791038,product pricing,Inappropriate pricing
tired creditcardco predatory pricing structure intentionally keep interest rates sky high trap customers debt predatorylending,0.044897027,0.030234439,0.718782067,0.030017335,0.17606917,misselling,Inappropriate pricing
apologize pricing structure caused inconvenience feedback valuable actively reviewing adjusting fees charges better serve customers thank understanding customeroriented,0.002608193,0.003781982,0.003589691,0.971163929,0.018856218,customer service,Inappropriate pricing
apologize pricing structure caused inconvenience feedback valuable actively reviewing adjusting fees charges better serve customers thank understanding customeroriented,0.002608193,0.003781982,0.003589691,0.971163929,0.018856218,customer service,Inappropriate pricing
frustrated creditcardco pricing structure purposely make terms confusing take advantage customers lack understanding exploitativepractices,0.003561449,0.005008757,0.962789655,0.002859247,0.02578087,misselling,Inappropriate pricing
thank bringing issue product pricing attention appreciate feedback committed considering customer impact feedback making pricing decisions customerfeedbackvalued,0.000355009,0.000394458,0.000598626,0.000695201,0.997956693,product pricing,Inappropriate pricing
thank bringing issue product pricing attention appreciate feedback committed considering customer impact feedback making pricing decisions customerfeedbackvalued,0.000355009,0.000394458,0.000598626,0.000695201,0.997956693,product pricing,Inappropriate pricing
thank bringing issue product pricing attention appreciate feedback committed considering customer impact feedback making pricing decisions customerfeedbackvalued,0.000355009,0.000394458,0.000598626,0.000695201,0.997956693,product pricing,Inappropriate pricing
feeling deceived creditcardco reward program enticing sign bonus turned nearly impossible achieve due hidden spending requirements falsepromises,0.000851438,0.659408033,0.338358045,0.000827375,0.000555077,reward programme,Reward Programme
feeling frustrated creditcardco reminder system unreliable inconsistent afford keep missing due dates latepaymentissues,0.971892297,0.000621501,0.001524893,0.025498087,0.00046317,reminder system,Reminder System
appreciate creditcardco transparency new credit card schemes clear terms conditions make easier customers make informed decisions transparencymatters,0.119834922,0.455866188,0.140090391,0.166246518,0.117961928,reward programme,Transparency of communication
received notice creditcardco reducing cashback percentage consider would affect loyal customers rewardsdevaluation,0.014077418,0.972773135,0.006387859,0.004518342,0.002243276,reward programme,Reward Programme
hey creditcardco appreciate payment reminders text messages often delayed end receiving due date reliable way notify customers latereminders communicationproblem,0.916329443,0.001563156,0.001124297,0.079835519,0.001147563,reminder system,Channel of Communication
hey creditcardco reward points low redemption value disheaening see little loyalty woh undervaluedrewards,0.001483153,0.988495648,0.008033785,0.001180182,0.000807228,reward programme,Reward Programme
creditcardco still using carrier pigeons send due date reminders slow unreliable leaves room errors pigeonmailissues,0.983944833,0.002100815,0.001608162,0.011028286,0.001317927,reminder system,Reminder System
excited hear new credit card schemes announced creditcardco looking forward exploring benefits rewards offer creditcardschemes,0.011151826,0.958097816,0.008116832,0.011996966,0.010636618,reward programme,Reward Programme
checks voicemail days creditcardco using voicemail primary mode sending reminders ineffective outdated voicemailwoes,0.956022918,0.002964072,0.00274089,0.037185237,0.001086895,reminder system,Reminder System
creditcardco sales representative misled buying expensive product need feeling cheated deceived misselling,0.001044257,0.001589695,0.844969511,0.06111056,0.091286026,misselling,MisSelling
reward program offered creditcardco simply woh high spending requirements minimal benefits make hassle perk notwohit,0.001194035,0.994469345,0.002518419,0.000827855,0.000990244,reward programme,Reward Programme
hey creditcardco reward program lacks transparency nearly impossible understand value point redeemed lackofclarity,0.001706066,0.987751305,0.008076165,0.001497036,0.000969502,reward programme,Transparency of communication
missed another due date creditcardco reminder system sends notifications business hours reminders evening weekends limitedavailability,0.989726484,0.002216415,0.001502975,0.005168203,0.001385948,reminder system,Reminder System
